Date,YMAX,YMAX Dividends,YMAG,YMAG Dividends,VIX,VVIX,QQQ
2024-01-31,20.2,0.0,19.49,0.0,14.350000381469728,87.55999755859375,414.5067443847656
2024-02-01,20.39,0.0,19.75,0.0,13.880000114440918,84.83000183105469,419.3877258300781
2024-02-02,20.7,0.0,20.3,0.0,13.850000381469728,83.30999755859375,426.4755859375
2024-02-05,20.44,0.0,20.19,0.0,13.670000076293944,79.58000183105469,425.9189453125
2024-02-06,20.61,0.0,20.2,0.0,13.0600004196167,76.97000122070312,425.0639953613281
2024-02-07,20.78,0.0,20.47,0.0,12.829999923706056,80.54000091552734,429.4380187988281
2024-02-08,20.8,0.0,20.49,0.0,12.789999961853027,83.06999969482422,430.2332763671875
2024-02-09,20.78,0.0,20.62,0.0,12.93000030517578,81.94000244140625,434.4680786132813
2024-02-12,20.93,0.0,20.52,0.0,13.93000030517578,84.62999725341797,432.7681884765625
2024-02-13,20.57,0.0,20.23,0.0,15.850000381469728,93.19000244140624,426.018310546875
2024-02-14,21.01,0.0,20.46,0.0,14.380000114440918,83.16999816894531,430.6607360839844
2024-02-15,20.69,0.53,20.09,0.43,14.010000228881836,82.4000015258789,431.943115234375
2024-02-16,20.59,0.0,20.01,0.0,14.239999771118164,82.62999725341797,428.0263977050781
2024-02-20,20.2,0.0,19.8,0.0,15.420000076293944,86.0999984741211,424.7955627441406
2024-02-21,20.07,0.0,19.79,0.0,15.34000015258789,84.66000366210938,423.09564208984375
2024-02-22,20.75,0.0,20.62,0.0,14.539999961853027,80.87999725341797,435.4820861816406
2024-02-23,20.91,0.0,20.62,0.0,13.75,78.86000061035156,434.1996765136719
2024-02-26,20.98,0.0,20.51,0.0,13.739999771118164,80.5,433.9710083007813
2024-02-27,21.18,0.0,20.64,0.0,13.43000030517578,78.54000091552734,435.0148620605469
2024-02-28,21.22,0.0,20.56,0.0,13.84000015258789,80.36000061035156,432.6986083984375
2024-02-29,21.55,0.0,20.8,0.0,13.399999618530272,77.44999694824219,436.4066162109375
2024-03-01,21.67,0.0,21.0,0.0,13.109999656677246,77.68000030517578,442.9775085449219
2024-03-04,21.6,0.0,20.74,0.0,13.489999771118164,79.41000366210938,441.39691162109375
2024-03-05,21.17,0.0,20.41,0.0,14.460000038146973,83.91000366210938,433.4739990234375
2024-03-06,21.38,0.0,20.37,0.0,14.5,83.11000061035156,436.1978454589844
2024-03-07,21.65,0.0,20.65,0.0,14.4399995803833,82.12999725341797,442.8185119628906
2024-03-08,21.62,0.0,20.44,0.0,14.739999771118164,86.55999755859375,436.4264831542969
2024-03-11,21.6,0.0,20.32,0.0,15.220000267028809,88.97000122070312,434.8061218261719
2024-03-12,21.87,0.0,20.77,0.0,13.84000015258789,83.76000213623047,441.0390930175781
2024-03-13,21.81,0.0,20.66,0.0,13.75,86.2699966430664,437.6492004394531
2024-03-14,20.9,0.57,19.94,0.59,14.399999618530272,88.75,436.5457763671875
2024-03-15,20.94,0.0,19.86,0.0,14.40999984741211,92.16999816894533,431.3566284179688
2024-03-18,21.16,0.0,20.11,0.0,14.329999923706056,86.77999877929688,435.47064208984375
2024-03-19,21.11,0.0,20.24,0.0,13.81999969482422,83.9000015258789,436.55560302734375
2024-03-20,21.31,0.0,20.4,0.0,13.039999961853027,78.87000274658203,441.7317199707031
2024-03-21,21.44,0.0,20.42,0.0,12.920000076293944,77.30000305175781,443.8220825195313
2024-03-22,21.43,0.0,20.59,0.0,13.0600004196167,76.48999786376953,444.3297424316406
2024-03-25,21.65,0.0,20.55,0.0,13.1899995803833,76.5999984741211,442.7171630859375
2024-03-26,21.62,0.0,20.47,0.0,13.239999771118164,76.7699966430664,441.2837829589844
2024-03-27,21.64,0.0,20.49,0.0,12.779999732971191,76.0,442.786865234375
2024-03-28,21.68,0.0,20.46,0.0,13.010000228881836,76.56999969482422,441.97064208984375
2024-04-01,21.6,0.0,20.54,0.0,13.649999618530272,78.44999694824219,442.9063415527344
2024-04-02,21.41,0.0,20.38,0.0,14.609999656677246,82.76000213623047,439.08392333984375
2024-04-03,21.47,0.0,20.42,0.0,14.329999923706056,81.08000183105469,440.06939697265625
2024-04-04,21.17,0.0,20.33,0.0,16.350000381469727,90.04000091552734,433.3404541015625
2024-04-05,21.34,0.0,20.46,0.0,16.030000686645508,90.58000183105467,438.4468994140625
2024-04-08,21.49,0.0,20.61,0.0,15.1899995803833,86.26000213623047,438.5762939453125
2024-04-09,21.52,0.0,20.64,0.0,14.979999542236328,84.44999694824219,440.1987915039063
2024-04-10,21.43,0.0,20.63,0.0,15.800000190734863,91.76000213623048,436.3565368652344
2024-04-11,21.68,0.0,20.95,0.0,14.90999984741211,89.4000015258789,443.3243713378906
2024-04-12,21.28,0.0,20.68,0.0,17.309999465942383,102.72000122070312,436.2569885253906
2024-04-15,20.81,0.0,20.36,0.0,19.229999542236328,109.63999938964844,429.0801086425781
2024-04-16,20.73,0.0,20.27,0.0,18.39999961853028,99.25,429.1199340820313
2024-04-17,19.92,0.63,19.46,0.62,18.209999084472656,98.76000213623048,423.8840637207031
2024-04-18,19.85,0.0,19.34,0.0,18.0,95.98999786376952,421.4652404785156
2024-04-19,19.38,0.0,18.78,0.0,18.709999084472656,99.08999633789062,412.7454833984375
2024-04-22,19.69,0.0,18.94,0.0,16.940000534057617,89.54000091552734,416.8963317871094
2024-04-23,20.01,0.0,19.26,0.0,15.6899995803833,82.36000061035156,423.11761474609375
2024-04-24,20.06,0.0,19.5,0.0,15.970000267028809,83.61000061035156,424.5509948730469
2024-04-25,19.96,0.0,19.19,0.0,15.369999885559082,82.54000091552734,422.5005187988281
2024-04-26,20.22,0.0,19.6,0.0,15.029999732971191,79.55999755859375,429.0203857421875
2024-04-29,20.31,0.0,19.78,0.0,14.670000076293944,78.22000122070312,430.7623596191406
2024-04-30,19.92,0.0,19.48,0.0,15.649999618530272,81.81999969482422,422.6398010253906
2024-05-01,19.79,0.0,19.54,0.0,15.390000343322754,81.93000030517578,419.58392333984375
2024-05-02,20.21,0.0,19.82,0.0,14.68000030517578,78.58999633789062,424.939208984375
2024-05-03,20.46,0.0,20.18,0.0,13.489999771118164,74.56999969482422,433.4797973632813
2024-05-06,20.68,0.0,20.37,0.0,13.489999771118164,73.45999908447266,438.2278747558594
2024-05-07,20.52,0.0,20.3,0.0,13.229999542236328,74.54000091552734,438.2975769042969
2024-05-08,20.45,0.0,20.28,0.0,13.0,74.5,438.0387573242188
2024-05-09,20.51,0.0,20.25,0.0,12.6899995803833,73.7699966430664,438.9943542480469
2024-05-10,20.29,0.0,20.22,0.0,12.550000190734863,73.26000213623047,440.0295715332031
2024-05-13,20.45,0.0,20.29,0.0,13.600000381469728,77.55000305175781,441.0448913574219
2024-05-14,20.63,0.0,20.46,0.0,13.420000076293944,77.6500015258789,443.8818359375
2024-05-15,20.06,0.73,19.92,0.64,12.449999809265137,76.30999755859375,450.8197937011719
2024-05-16,20.03,0.0,19.94,0.0,12.420000076293944,77.73999786376953,449.904052734375
2024-05-17,20.17,0.0,20.0,0.0,11.989999771118164,78.43000030517578,449.6850280761719
2024-05-20,20.34,0.0,20.03,0.0,12.149999618530272,79.44999694824219,452.820556640625
2024-05-21,20.37,0.0,20.17,0.0,11.859999656677246,77.62000274658203,453.7064514160156
2024-05-22,20.22,0.0,20.15,0.0,12.289999961853027,79.95999908447266,453.6168823242188
2024-05-23,19.94,0.0,19.99,0.0,12.770000457763672,84.62000274658203,451.5763244628906
2024-05-24,20.26,0.0,20.36,0.0,11.93000030517578,79.08999633789062,455.8466491699219
2024-05-28,20.3,0.0,20.34,0.0,12.920000076293944,81.63999938964844,457.5686645507813
2024-05-29,20.19,0.0,20.41,0.0,14.279999732971191,83.79000091552734,454.3435363769531
2024-05-30,20.2,0.0,20.21,0.0,14.470000267028809,83.44000244140625,449.4759826660156
2024-05-31,20.11,0.0,20.16,0.0,12.920000076293944,78.2699966430664,448.6398315429688
2024-06-03,20.21,0.0,20.31,0.0,13.109999656677246,78.79000091552734,451.0487365722656
2024-06-04,20.26,0.0,20.33,0.0,13.15999984741211,77.6500015258789,452.2830505371094
2024-06-05,20.45,0.0,20.6,0.0,12.630000114440918,75.23999786376953,461.4009704589844
2024-06-06,20.52,0.0,20.66,0.0,12.579999923706056,77.91000366210938,461.24169921875
